"","Date","Pays","Infections","Deces","Guerisons","long","lat"
"186","7/13/2020","South Africa","287796","4172","138241","25.0838838","-29.0003377"
"187","7/13/2020","Yemen","1498","424","675","47.5867601","15.9092765"
"188","7/13/2020","Mayotte","2724","37","2480","#N/A","#N/A"
"189","7/13/2020","Kosovo","5118","108","2370","20.8724961","42.5707842"
"190","7/13/2020","Vietnam","373","0","352","106.2991386","16.6460145"
"191","7/13/2020","Venezuela","9707","93","2671","-66.1818409","7.1242240"
"192","7/13/2020","Saint Vincent and the Grenadines","35","0","29","-61.2012944","13.2247184"
"193","7/13/2020","Vatican","12","0","12","12.4338626","41.9017410"
"194","7/13/2020","Uzbekistan","13591","64","8030","63.1400180","41.7555408"
"195","7/13/2020","Uruguay","989","31","903","-56.0180680","-32.7995198"
"196","7/13/2020","Unites States Of America","3363056","135605","1031939","#N/A","#N/A"
"197","7/13/2020","Uganda","1029","0","977","32.3690754","1.2746902"
"198","7/13/2020","Ukraine","55285","1415","27356","31.3832579","48.9965678"
"199","7/13/2020","Tanzania","509","21","183","#N/A","#N/A"
"200","7/13/2020","Taiwan","451","7","438","120.9542726","23.7540034"
"201","7/13/2020","Trinidad and Tobago","133","8","124","-61.2656580","10.4573576"
"202","7/13/2020","Turkey","214001","5382","195671","35.1689553","39.0616034"
"203","7/13/2020","Tunisia","1302","50","1082","9.5528829","34.1195666"
"204","7/13/2020","East Timor","24","0","24","125.8443864","-8.8288854"
"205","7/13/2020","Tajikistan","6596","55","5278","71.0136331","38.5304512"
"206","7/13/2020","Thailand","3220","58","3090","101.0028835","15.1181635"
"207","7/13/2020","Togo","721","15","517","0.9623212","8.5252980"
"208","7/13/2020","Tchad","880","75","792","#N/A","#N/A"
"209","7/13/2020","Eswatini","1389","20","688","#N/A","#N/A"
"210","7/13/2020","Syria","417","19","136","38.5078794","35.0254725"
"211","7/13/2020","Sao Tome and Principe","732","14","286","6.7242964","0.4439085"
"212","7/13/2020","El Salvador","9978","267","5732","-88.8716446","13.7394401"
"213","7/13/2020","South Sudan","2148","41","333","30.2479006","7.3087758"
"214","7/13/2020","Suriname","780","18","526","-55.9123483","4.1305538"
"215","7/13/2020","Somalia","3072","93","1343","45.7071624","4.7506519"
"216","7/13/2020","Senegal","8198","150","5514","-14.4734890","14.3662438"
"217","7/13/2020","San Marino","699","42","656","12.4592303","43.9418694"
"218","7/13/2020","Sierra Leone","1642","63","1175","-11.7927121","8.5632907"
"219","7/13/2020","Slovakia","1902","28","1493","19.4790521","48.7054718"
"220","7/13/2020","Slovenia","1849","111","1473","14.8044464","46.1155544"
"221","7/13/2020","Singapore","46283","26","42541","103.8172532","1.3587707"
"222","7/13/2020","Sweden","75826","5536","0","16.7437122","62.7923202"
"223","7/13/2020","Sudan","10316","657","5403","29.9404723","15.9903543"
"224","7/13/2020","Seychelles","100","0","11","55.4760200","-4.6609782"
"225","7/13/2020","Saudi Arabia","235111","2243","169842","44.5368704","24.1224547"
"226","7/13/2020","Rwanda","1378","4","710","29.9198911","-1.9903320"
"227","7/13/2020","Russia","732547","11422","503168","96.6865735","61.9805217"
"228","7/13/2020","Republic of Serbia","18639","405","13940","20.7895812","44.2215031"
"229","7/13/2020","Romania","32948","1901","21692","24.9729329","45.8524294"
"230","7/13/2020","Qatar","104016","149","100627","51.1847851","25.3060094"
"231","7/13/2020","R̩union","596","3","472","#N/A","#N/A"
"232","7/13/2020","Paraguay","2980","25","1293","-58.4001408","-23.2282390"
"233","7/13/2020","Portugal","46818","1662","31065","-8.5010551","39.5955025"
