"Date","Pays","Infections","Deces","Guerisons","TauxDeces","TauxGuerison","TauxInfection","long","lat"
"7/13/2020","Japan","22125","984","18058","4.45","81.62","13.93","138.0308921","37.5923006"
"7/13/2020","Jordan","1183","10","1008","0.85","85.21","13.95","36.7713725","31.2457939"
"7/13/2020","Jamaica","759","10","628","1.32","82.74","15.94","-77.3148256","18.1569548"
"7/13/2020","Italiy","243230","34967","195106","14.38","80.21","5.41","#N/A","#N/A"
"7/13/2020","Iceland","1900","10","1871","0.53","98.47","1","-18.5739709","64.9957526"
"7/13/2020","Iran","259652","13032","222539","5.02","85.71","9.27","54.2740707","32.5750329"
"7/13/2020","Iraq","79735","3250","46998","4.08","58.94","36.98","43.743532","33.0397051"
"7/13/2020","India","906752","23727","571460","2.62","63.02","34.36","79.6119736","22.8857804"
"7/13/2020","Israel","40632","365","19395","0.9","47.73","51.37","35.00445","31.4611019"
"7/13/2020","Irland","25638","1746","23364","6.81","91.13","2.06","#N/A","#N/A"
"7/13/2020","Indonesia","76981","3656","36689","4.75","47.66","47.59","117.2400976","-2.2150502"
"7/13/2020","Hungary","4247","595","3073","14.01","72.36","13.63","19.3955938","47.1627771"
"7/13/2020","Haiti","6727","141","3022","2.1","44.92","52.98","-72.6852736","18.9350096"
"7/13/2020","Croatia","3775","119","2514","3.15","66.6","30.25","16.4041308","45.0804728"
"7/13/2020","Honduras","28579","789","3123","2.76","10.93","86.31","-86.6151685","14.8268823"
"7/13/2020","Hong-Kong","1469","7","1214","0.48","82.64","16.88","#N/A","#N/A"
"7/13/2020","Guyana","300","17","155","5.67","51.67","42.67","-58.982026","4.7937805"
"7/13/2020","Guinea Bissau","1842","26","773","1.41","41.97","56.62","-14.9497294","12.0474445"
"7/13/2020","Guatemala","29742","1244","4321","4.18","14.53","81.29","-90.3648229","15.6940416"
"7/13/2020","Greece","3826","193","1374","5.04","35.91","59.04","22.9555621","39.0746697"
